ps seed,performance mean,ci lower,ci upper,performance_mean_sum
33,6946.488488100715,6738.719827887537,7154.257148313893,1180112.1014508698
39,6326.81971782,6019.837933914929,6633.801501725071,1057452.9003577
45,6276.4402949525,5657.076309886015,6895.804280018985,807961.0972676532
51,4730.906888981111,4464.03768149735,4997.776096464871,699743.1195653379
92,3026.8443316637304,1722.379372262295,4331.309291065166,439453.50645791745
40,1683.3768332716668,1184.1325194817498,2182.6211470615835,178533.8828660386
47,1738.3372250750003,1411.1478436228372,2065.5266065271635,162017.1904179079
76,849.2226978950397,740.1614018434512,958.2839939466281,159468.00417532184
35,961.3040407366667,902.9472155916992,1019.6608658816342,158020.66228127928
95,855.3822808165476,735.3513428383163,975.4132187947788,156814.95009755244
71,814.6269690011112,700.4608175684168,928.7931204338056,156018.37982932222
42,931.3151124693255,835.9596040931432,1026.670620845508,154654.01095377223
83,1682.0222485280556,1374.4347594552464,1989.6097376008647,151418.81854765548
65,939.439172885,807.431240152056,1071.4471056179439,148948.70562778777
55,2164.4302965174998,1548.6036298014526,2780.256963233547,147500.62085577697
57,927.5257073187502,791.9599432223711,1063.0914714151293,146514.6383666
34,1106.4069708559523,778.2876663491033,1434.5262753628012,146258.46564476017
80,1049.0749552108334,976.5813589890855,1121.5685514325814,142336.90903773095
97,987.3334640050001,967.9117071762096,1006.7552208337906,142095.08229843335
59,732.7492526911112,557.1737315392538,908.3247738429686,142064.8614426222
16,849.5990045274999,702.203916259478,996.9940927955219,135718.97594242432
64,849.8912960055555,712.1287974960221,987.653794515089,134525.11065599666
63,808.6064839899999,648.4774905213975,968.7354774586023,134388.4539953782
53,973.9391396105555,922.1753629934873,1025.7029162276237,128549.46349203681
25,981.2451955521428,972.1080616163944,990.3823294878913,125949.7679542291
87,960.8172617528571,828.1971246225372,1093.4373988831771,125489.68548975713
4,1360.1391534942857,1047.4701749150709,1672.8081320735005,120475.98732373017
74,884.7522862664285,748.9656398427992,1020.5389326900579,116362.38717063406
69,689.6441701607142,543.8164024171588,835.4719379042697,114942.04720710409
89,989.8837720583335,983.5298579460158,996.2376861706513,112396.90387456123
2,852.3999860520238,748.3718559503978,956.4281161536497,111424.70954293598
66,968.2849491083334,942.008707834259,994.5611903824079,111398.98295583393
19,874.8577879916666,758.6901505740292,991.0254254093039,109781.52464147849
67,750.4087701855556,586.1658294090389,914.6517109620722,109333.88060317778
62,748.5835768966666,506.6265149012304,990.5406388921028,107190.03684345573
94,774.3919512794445,667.4400584389989,881.34384411989,105832.1408869538
26,650.4988529304761,455.9815095650556,845.0161962958966,99025.72724508276
20,759.9659282304762,580.6454521081891,939.2864043527632,92444.95110647836
32,938.8671630933335,817.7005442316287,1060.0337819550382,92234.72990716665
1,906.6291921055554,850.0599748232254,963.1984093878854,90520.95288133287
28,970.68820807125,920.8506179231416,1020.5257982193583,89883.96434564199
27,646.4089759233333,591.9594631289991,700.8584887176675,81813.14744965475
96,771.5449467493056,695.4566514716563,847.6332420269549,80339.5155416349
54,970.3613354188889,932.0671143965383,1008.6555564412395,73983.48212034072
84,871.293614172361,757.4256950399229,985.1615333047991,63871.77675631627
81,975.4816670128573,899.1050102074031,1051.8583238183114,62425.14486728371
23,847.1025569616666,716.9967168636078,977.2083970597253,61903.75707440925
38,525.3014491733334,468.69300216137043,581.9098961852962,57783.00960225565
7,884.8422653918057,804.3850664754852,965.2994643081261,54329.59135805754
18,584.8755904637501,263.1369710913075,906.6142098361927,49021.16587109294
14,249.16382704666663,166.26474283897568,332.0629112543576,48606.83436539602
37,654.58574445,527.5973606872727,781.5741282127273,44633.50849812994
61,621.5163982691668,533.117555095975,709.9152414423585,42864.14462750941
68,716.5834716878572,631.0807597989859,802.0861835767286,42218.219972136525
31,254.60349988277775,193.99771396572126,315.2092857998343,31625.55403687107
6,534.474402585,212.44191062709217,856.5068945429078,26753.40051847143
